Source,Target,Weight
曹破延,崔六郎,34
曹破延,崔器,12
曹破延,李泌,8
曹破延,檀棋,5
曹破延,张小敬,55
曹破延,王忠嗣,7
曹破延,麻格儿,24
曹破延,龙波,23
曹破延,闻染,22
曹破延,徐宾,6
崔六郎,曹破延,34
崔六郎,崔器,14
崔六郎,李泌,7
崔六郎,张小敬,6
贺知章,檀棋,10
贺知章,李泌,148
贺知章,张小敬,63
贺知章,李相,11
贺知章,姚汝能,7
贺知章,徐宾,7
贺知章,李亨,19
贺知章,甘守诚,10
贺知章,吉温,5
崔器,曹破延,12
崔器,崔六郎,14
崔器,李泌,29
崔器,张小敬,109
崔器,姚汝能,45
崔器,王忠嗣,4
崔器,徐宾,14
崔器,甘守诚,17
崔器,李相,5
崔器,闻染,4
圣人,张小敬,5
圣人,元载,4
李泌,崔器,29
李泌,崔六郎,7
李泌,徐宾,105
李泌,张小敬,371
李泌,姚汝能,98
李泌,曹破延,8
李泌,檀棋,88
李泌,贺知章,148
李泌,龙波,33
李泌,李亨,81
李泌,王忠嗣,7
李泌,封大伦,4
李泌,王韫秀,23
李泌,李相,68
李泌,闻染,19
李泌,甘守诚,14
李泌,吉温,39
李泌,元载,18
李泌,伊斯,8
李泌,萧规,45
李泌,陈玄礼,18
李泌,安禄山,5
李泌,刘骆谷,13
李泌,永王,4
徐宾,李泌,105
徐宾,张小敬,69
徐宾,贺知章,7
徐宾,檀棋,13
徐宾,崔器,14
徐宾,姚汝能,33
徐宾,王韫秀,7
徐宾,闻染,9
徐宾,曹破延,6
徐宾,李相,8
徐宾,元载,14
徐宾,伊斯,16
张小敬,李泌,371
张小敬,姚汝能,267
张小敬,徐宾,69
张小敬,崔六郎,6
张小敬,崔器,109
张小敬,檀棋,251
张小敬,曹破延,55
张小敬,封大伦,82
张小敬,贺知章,63
张小敬,小乙,17
张小敬,葛老,75
张小敬,龙波,18
张小敬,瞳儿,12
张小敬,王忠嗣,12
张小敬,闻染,74
张小敬,麻格儿,44
张小敬,王韫秀,31
张小敬,永王,96
张小敬,李相,28
张小敬,闻无忌,47
张小敬,元载,152
张小敬,甘守诚,11
张小敬,伊斯,149
张小敬,岑参,29
张小敬,吉温,26
张小敬,鱼肠,90
张小敬,李亨,12
张小敬,毛顺,90
张小敬,太真,36
张小敬,圣人,5
张小敬,萧规,287
张小敬,陈玄礼,56
姚汝能,李泌,98
姚汝能,张小敬,267
姚汝能,檀棋,46
姚汝能,贺知章,7
姚汝能,龙波,4
姚汝能,崔器,45
姚汝能,葛老,14
姚汝能,徐宾,33
姚汝能,甘守诚,6
姚汝能,王韫秀,9
姚汝能,闻染,57
姚汝能,岑参,13
姚汝能,吉温,14
姚汝能,元载,17
姚汝能,伊斯,4
王忠嗣,曹破延,7
王忠嗣,麻格儿,9
王忠嗣,张小敬,12
王忠嗣,闻染,4
王忠嗣,崔器,4
王忠嗣,李泌,7
王忠嗣,王韫秀,10
王忠嗣,吉温,4
王忠嗣,元载,7
檀棋,张小敬,251
檀棋,曹破延,5
檀棋,李泌,88
檀棋,贺知章,10
檀棋,姚汝能,46
檀棋,徐宾,13
檀棋,李相,12
檀棋,伊斯,26
檀棋,闻染,5
檀棋,李亨,23
檀棋,太真,28
檀棋,萧规,4
檀棋,元载,30
闻染,王韫秀,34
闻染,麻格儿,18
闻染,张小敬,74
闻染,王忠嗣,4
闻染,曹破延,22
闻染,封大伦,27
闻染,永王,26
闻染,元载,46
闻染,徐宾,9
闻染,李泌,19
闻染,姚汝能,57
闻染,崔器,4
闻染,檀棋,5
闻染,闻无忌,12
闻染,岑参,60
封大伦,张小敬,82
封大伦,闻染,27
封大伦,永王,47
封大伦,李泌,4
封大伦,元载,77
封大伦,王韫秀,12
封大伦,吉温,4
封大伦,张洛,6
封大伦,岑参,20
封大伦,陈玄礼,15
岑参,姚汝能,13
岑参,张小敬,29
岑参,闻染,60
岑参,元载,13
岑参,封大伦,20
李相,贺知章,11
李相,檀棋,12
李相,张小敬,28
李相,李泌,68
李相,李亨,17
李相,徐宾,8
李相,崔器,5
李相,吉温,18
李相,元载,4
王韫秀,闻染,34
王韫秀,张小敬,31
王韫秀,王忠嗣,10
王韫秀,李泌,23
王韫秀,徐宾,7
王韫秀,元载,92
王韫秀,封大伦,12
王韫秀,姚汝能,9
王韫秀,吉温,12
麻格儿,曹破延,24
麻格儿,王忠嗣,9
麻格儿,闻染,18
麻格儿,张小敬,44
龙波,姚汝能,4
龙波,李泌,33
龙波,张小敬,18
龙波,瞳儿,4
龙波,曹破延,23
龙波,鱼肠,4
小乙,张小敬,17
葛老,张小敬,75
葛老,姚汝能,14
瞳儿,龙波,4
瞳儿,张小敬,12
李亨,李泌,81
李亨,贺知章,19
李亨,李相,17
李亨,檀棋,23
李亨,张小敬,12
李亨,李瑁,5
永王,封大伦,47
永王,张小敬,96
永王,闻染,26
永王,元载,27
永王,萧规,8
永王,陈玄礼,25
永王,李泌,4
元载,封大伦,77
元载,永王,27
元载,张小敬,152
元载,王韫秀,92
元载,闻染,46
元载,姚汝能,17
元载,吉温,36
元载,李相,4
元载,王忠嗣,7
元载,岑参,13
元载,徐宾,14
元载,李泌,18
元载,伊斯,5
元载,陈玄礼,56
元载,圣人,4
元载,檀棋,30
闻无忌,张小敬,47
闻无忌,闻染,12
闻无忌,萧规,25
甘守诚,姚汝能,6
甘守诚,张小敬,11
甘守诚,崔器,17
甘守诚,李泌,14
甘守诚,贺知章,10
伊斯,张小敬,149
伊斯,檀棋,26
伊斯,鱼肠,8
伊斯,徐宾,16
伊斯,吉温,13
伊斯,姚汝能,4
伊斯,元载,5
伊斯,李泌,8
吉温,张小敬,26
吉温,王忠嗣,4
吉温,姚汝能,14
吉温,李泌,39
吉温,李相,18
吉温,元载,36
吉温,封大伦,4
吉温,王韫秀,12
吉温,伊斯,13
吉温,贺知章,5
鱼肠,张小敬,90
鱼肠,伊斯,8
鱼肠,龙波,4
鱼肠,萧规,27
张洛,封大伦,6
太真,檀棋,28
太真,张小敬,36
太真,萧规,28
毛顺,张小敬,90
毛顺,萧规,37
毛顺,陈玄礼,4
李瑁,李亨,5
萧规,张小敬,287
萧规,闻无忌,25
萧规,李泌,45
萧规,鱼肠,27
萧规,毛顺,37
萧规,陈玄礼,20
萧规,檀棋,4
萧规,永王,8
萧规,太真,28
陈玄礼,元载,56
陈玄礼,张小敬,56
陈玄礼,萧规,20
陈玄礼,毛顺,4
陈玄礼,李泌,18
陈玄礼,永王,25
陈玄礼,封大伦,15
安禄山,李泌,5
刘骆谷,李泌,13
